fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/laurine2_car.tei_corpo2_tto.cha 	 TRANS 	 CHI 	24	2646	5;05.30	5	21	5	0	12	18	155	14	0	8	1	5	24	6	0	38	2	4	0	
../tcof/chi-trans-metaok/leo1_par.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	1397	5;05.30	5	2	2	0	9	9	62	5	0	5	2	3	5	8	0	8	1	1	0	
../tcof/chi-trans-metaok/leo1_rom.tei_corpo2_tto.cha 	 TRANS 	 CHI 	61	1713	3;07.05	3	3	2	0	2	13	80	9	0	8	2	4	3	9	0	17	0	0	0	
../tcof/chi-trans-metaok/leo1_roy.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	277	3;08.11	3	0	0	0	12	3	27	2	0	0	3	2	0	0	0	5	0	0	0	
../tcof/chi-trans-metaok/lilou1_hua.tei_corpo2_tto.cha 	 TRANS 	 CHI 	17	724	5;03.17	5	2	2	0	1	4	41	8	0	3	1	3	2	12	0	12	0	0	0	
../tcof/chi-trans-metaok/lisa1_rhe.tei_corpo2_tto.cha 	 TRANS 	 CHI 	13	284	2;10.23	2	1	0	0	0	1	4	1	0	1	0	0	0	2	0	1	0	0	0	
../tcof/chi-trans-metaok/loris1_peu.tei_corpo2_tto.cha 	 TRANS 	 CHI 	49	673	3;02.12	3	2	5	0	5	7	30	2	0	6	0	0	5	7	0	6	0	0	0	
../tcof/chi-trans-metaok/lorraine1_spo.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	556	4;	4	0	4	0	2	4	28	2	0	1	1	0	5	1	0	5	0	0	0	
../tcof/chi-trans-metaok/lou1_tho.tei_corpo2_tto.cha 	 TRANS 	 CHI 	46	1213	4;02.12	4	0	13	0	0	1	34	7	0	0	0	1	0	0	0	1	0	0	0	
../tcof/chi-trans-metaok/louis1_cas.tei_corpo2_tto.cha 	 TRANS 	 CHI 	6	621	4;07.05	4	2	1	0	4	5	59	5	0	1	1	0	5	3	0	15	0	0	0	
../tcof/chi-trans-metaok/louis1_lho.tei_corpo2_tto.cha 	 TRANS 	 CHI 	28	675	4;04.24	4	2	7	0	3	3	46	5	0	2	0	3	8	13	0	5	4	1	0	
../tcof/chi-trans-metaok/louis1_tro.tei_corpo2_tto.cha 	 TRANS 	 CHI 	46	1213	2;07.05	2	0	13	0	0	1	34	7	0	0	0	1	0	0	0	1	0	0	0	
../tcof/chi-trans-metaok/louis1_utn.tei_corpo2_tto.cha 	 TRANS 	 CHI 	5	240	4;05.30	4	0	0	0	1	5	25	2	0	0	0	0	0	2	0	9	1	0	0	
../tcof/chi-trans-metaok/louis2_utn.tei_corpo2_tto.cha 	 TRANS 	 CHI 	19	593	4;05.30	4	0	5	0	2	13	48	15	0	5	0	0	2	18	0	4	1	2	0	
../tcof/chi-trans-metaok/louise1_geo.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	927	4;09.17	4	1	2	0	5	11	80	1	0	2	0	3	5	8	0	15	0	1	0	
../tcof/chi-trans-metaok/louise1_sch.tei_corpo2_tto.cha 	 TRANS 	 CHI 	1	317	2;03.17	2	0	1	0	0	0	11	5	0	0	0	1	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/luana1_alb.tei_corpo2_tto.cha 	 TRANS 	 CHI 	20	663	4;09.17	4	1	1	0	18	7	35	3	0	0	0	3	2	7	0	6	2	0	0	
../tcof/chi-trans-metaok/luca1_bar.tei_corpo2_tto.cha 	 TRANS 	 CHI 	23	2659	5;03.17	5	4	6	0	25	7	164	13	0	7	3	18	26	12	0	36	2	0	0	
../tcof/chi-trans-metaok/lucie1_led.tei_corpo2_tto.cha 	 TRANS 	 CHI 	16	950	4;03.17	4	2	2	0	2	2	47	5	0	3	2	2	6	6	0	16	0	0	0	
../tcof/chi-trans-metaok/lucie1_vic.tei_corpo2_tto.cha 	 TRANS 	 CHI 	56	3674	3;05.30	3	28	17	0	81	41	202	17	0	13	2	6	7	23	0	42	10	1	0	
../tcof/chi-trans-metaok/lucile1_flo.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	471	3;	3	1	0	0	1	4	32	2	0	1	1	0	0	6	0	0	0	0	0	
../tcof/chi-trans-metaok/maelle1_pap.tei_corpo2_tto.cha 	 TRANS 	 CHI 	23	3172	5;03.17	5	7	9	0	30	18	330	14	0	11	3	4	29	14	0	68	10	6	0	
../tcof/chi-trans-metaok/manon1_ern.tei_corpo2_tto.cha 	 TRANS 	 CHI 	8	1687	4;05.30	4	14	2	0	8	14	147	7	0	14	2	0	1	14	0	27	9	2	0	
../tcof/chi-trans-metaok/manon1_kho.tei_corpo2_tto.cha 	 TRANS 	 CHI 	12	798	5;03.17	5	1	1	0	3	11	60	4	0	1	0	4	6	7	0	8	1	1	0	
../tcof/chi-trans-metaok/manon1_lag.tei_corpo2_tto.cha 	 TRANS 	 CHI 	10	272	5;07.05	5	1	2	0	1	3	22	1	0	1	0	3	0	2	0	2	0	0	0	
../tcof/chi-trans-metaok/manon1_rej.tei_corpo2_tto.cha 	 TRANS 	 CHI 	17	1077	3;04.23	3	0	0	0	3	3	53	5	0	5	0	4	7	5	0	22	0	0	0	
../tcof/chi-trans-metaok/margaux1_gil.tei_corpo2_tto.cha 	 TRANS 	 CHI 	22	957	5;	5	0	9	0	7	12	47	7	0	4	0	0	3	4	0	11	1	0	0	
../tcof/chi-trans-metaok/margot1_koe.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	433	5;03.17	5	1	0	0	0	2	42	1	0	3	0	1	1	2	0	1	1	1	0	
